id,content,sender,sentTime
1,"동작이 잘 되나요? 안녕하세요~","🤵고드름","2024-12-13 16:20:57"
2,"안녕하세요!","🤵피크","2024-12-13 16:21:10"
3,"넵 안녕하세요!","👶꽁꽁","2024-12-13 16:21:12"
4,"쿵야님 응답하시면 시작해볼까요?","🤵고드름","2024-12-13 16:21:33"
5,"좋습니다!","🤵피크","2024-12-13 16:21:38"
6,"쿵야님 잘 들어오셨을까요?","🤵고드름","2024-12-13 16:24:46"
7,"넵넵","🤵쿵야","2024-12-13 16:24:52"
8,"안녕하세요","🤵쿵야","2024-12-13 16:24:54"
9,"안녕하세요~","🤵피크","2024-12-13 16:25:00"
10,"좋습니다아~","🤵고드름","2024-12-13 16:25:02"
11,"이제 잘보입니다!","🤵피크","2024-12-13 16:25:03"
12,"안녕하세요~!","👶꽁꽁","2024-12-13 16:25:05"
13,"아까도 이 상태였는데, 불안하기는 한가보네요","🤵쿵야","2024-12-13 16:25:07"
14,"ㅠㅠ","🤵피크","2024-12-13 16:25:13"
15,"아 그랬군요..","🤵고드름","2024-12-13 16:25:19"
16,"각자 의견을 먼저 한분씩 이야기해볼까요?","👶꽁꽁","2024-12-13 16:25:29"
17,"막내부터해야하나,,","👶꽁꽁","2024-12-13 16:25:35"
18,"일단 시작해보고 쿵야님 또 문제 있으시면 오픈채팅방에서 이야기하는 걸로 하죠!","🤵피크","2024-12-13 16:25:35"
19,"네넵","🤵피크","2024-12-13 16:25:40"
20,"저는 후보자 1이 괜찮다고 생각했어요","🤵쿵야","2024-12-13 16:25:57"
21,"ㅋㅋㅋㅋ 누구나 먼저 시작해도 되죠 ㅎㅎ","🤵고드름","2024-12-13 16:26:01"
22,"오호 이유 듣고 싶어요","🤵고드름","2024-12-13 16:26:04"
23,"<span style=""font-size: 15.04px;"">&nbsp;[가장 안정적이고 오랜 시간 검증되어온 선택읕 해야만 하는 상황] 이 전제가 큰 영향이었는데요</span>","🤵쿵야","2024-12-13 16:26:28"
24,"가장 안정적이라는 말에서, 지금은 조직의 불안정을 없애기 위한 선택을 해야 한다고 생각했어요","🤵쿵야","2024-12-13 16:26:47"
25,"최근 내부 구조조정이 있었다고 했었고, 여러 리더십을 교체했다고 했는데요","🤵쿵야","2024-12-13 16:27:16"
26,"이런 상황일수록 기존에 조직을 잘 알고 있는 사람이 조직의 안정성을 더해야지, 안정감을 갖고 조직원들이 일할수 있을거란 생각이 들었네요","🤵쿵야","2024-12-13 16:27:47"
27,"저는 후보자 2번이 더 나은 선택이라고 생각해요. 회사의 이름이 '넥스트 이노베이션'이기도 하고, 첨단기술을 다루는 회사이니만큼 성과를 극대화하고 회사의 전략적 목표를 실현하는데 핵심적인 역할을 할 사람을 뽑아야한다는 것이 가장 중요한 내용이라 생각합니다.","👶꽁꽁","2024-12-13 16:28:22"
