id,content,sender,sentTime
1,"테스트","🤵신나벌임","2024-12-21 13:29:45"
2,"테스트","🤵신나벌임","2024-12-21 13:30:12"
3,"논의를 시작해볼까요?&nbsp;","🤵자몽","2024-12-21 13:37:38"
4,"다들 검토 다 끝나셨나요??","🤵권투하는 무지","2024-12-21 13:37:41"
5,"자료 검토 완료했습니다.","🤵자몽","2024-12-21 13:37:51"
6,"네 완료했습니다","👶돌맹이","2024-12-21 13:38:00"
7,"네넵 그러면 시작하시죠","🤵권투하는 무지","2024-12-21 13:38:16"
8,"저도 검토는 완료했습니다. 일단 성과점수와 고객 피드백에 대하여 평가지표를 확인할 수 없기 때문에 전적으로 신뢰할 수 없지만 참고용으로 사용한다고 하면 업체1이 가장 유력하다는 생각입니다. 프로젝트 수나 협업기관이 높다는 것은 저희랑 소통이 잘된다는 점이고 또한 고객피드백이 높다는 것은 상대방의 니즈 파악 능력이 높다는 생각입니다. 차선으로는 업체3번 유력하다는 생각이나 업체2과 업체3번의 신뢰성이 상당이 차이가 있다는 점이 큰 차이라고 생각이 드네요","🤵신나벌임","2024-12-21 13:38:29"
9,"덧붙혀서 의견을 제시하면 직원수가 많다는 것은 업무 중 발생하는 인력 공백이나 인력 지원에서도 강점이 있을 것으로 생각합니다","🤵신나벌임","2024-12-21 13:39:28"
10,"하지만 회사이름에 걸맞게 혁신을 이끌어내려면 유능한 업체와 일하는게 중요하다고 생각합니다.","👶돌맹이","2024-12-21 13:39:42"
11,"&nbsp;업체2가 그런면에서 협업을 한적이 없지만 수상내역이 탁월하기 때문에 한번 검토해볼만 하다 생각합니다.","👶돌맹이","2024-12-21 13:40:05"
12,"사실 자료만 봐서는 각 업체별 장점이나 기술이 없어서 누가 유능한지 분별하기 어렵다는 의견입니다.","🤵신나벌임","2024-12-21 13:40:16"
13,"대규모 프로젝트를 시작한다는 면에서 업체 2를 선정하면 리스크가 클 것 같아요.&nbsp;","🤵자몽","2024-12-21 13:41:34"
14,"네 저도 그렇게 생각합니다. 수상 내역이 많다고 해서 유능하다고 판단할 수는 없을 것 같습니다.","🤵권투하는 무지","2024-12-21 13:41:46"
15,"제조 부분과 국가 산업 파트너십 우수상은 평가기준에 따라 다르지만 저희 회사가 추구하는 혁신과는 크게 상관이 없다는 의견이에요 대신 어떤 내용인지 검토해볼 수 있으면 검토해보는게 좋을 것 같네요. 혹시 수상내역만으로 어떤 강점을 보셨는지 돌맹이님이 설명해주실 수 있나요?","🤵신나벌임","2024-12-21 13:41:48"
16,"직원 수가 적은 것도 문제고, 우리 회사와 협업한 적이 없어요","🤵자몽","2024-12-21 13:41:51"
17,"개인적으로 혁신을 추구하는 데 있어 협업 기간보다는 공급업체의 혁신력과 역량이 더 중요하다고 생각합니다. 이와 관련해 여러분은 어떻게 느끼시나요?",DEVIL,"2024-12-21 13:41:53"
18,"
            [ai_completion]
            개인적으로 혁신을 추구하는 데 있어 협업 기간보다는 공급업체의 혁신력과 역량이 더 중요하다고 생각합니다. 이와 관련해 여러분은 어떻게 느끼시나요?
            [dup_ids]
            [1]
            ",DM_REMOVAL_LOG,"2024-12-21 13:41:54"
19,"정부에서 주는 상이다 보니 업계에서 인정을 받는 업체라고 생각합니다.","👶돌맹이","2024-12-21 13:42:24"
20,"오히려 이런 업체와 빨리 협업을 하게 된다면 앞으로의 전망이 더 좋다고 생각합니다.","👶돌맹이","2024-12-21 13:42:45"
21,"가지만 고객피드백이 적다는 건 그만큼 퀄리티가 낮다는 이야기 일 수도 있고 제품의 품질 이슈가 있다는 이야기일 수도 있어요","🤵신나벌임","2024-12-21 13:43:14"
22,"그런 부분은 아직 업체가 경험이 덜 쌓였다는 얘기라고 생각합니다. 앞으로 충분히 개선되지 않을까요?","👶돌맹이","2024-12-21 13:44:09"
23,"오히려 신기술만 이야기한다면 업체3번이 지역 엔지니어링 우수성 인정으로 혁신성은 이쪽이 좀 더 보인다고 생각하는데","🤵신나벌임","2024-12-21 13:44:15"
