id,content,sender,sentTime
1,다들 업체 1은 어떻게 생각하세요?,p79,2024-12-20 16:18:31
2,업체1은 믿을만하죠,p78,2024-12-20 16:18:51
3,저도 업체1 항상 함께 해와서 좋은 것 같습니다,p77,2024-12-20 16:19:01
4,저는 업체 1이 그동안 저희 회사와 왜 협업해 왔는지 잘 모르겠습니다 성과 점수가 너무 낮은 것 같다고 조심스럽게 말씀드립니다,p80,2024-12-20 16:19:14
5,흠..성과점수만 보면 그렇긴한데,p78,2024-12-20 16:19:51
6,직원수가 가장 많은데 성과점수가 가장 낮은걸 봤을때 ...,p79,2024-12-20 16:20:26
7,고인물들만 넘쳐나게 된것같습니다.,p79,2024-12-20 16:20:34
8,하지만 저희 고객층은 검증된 파트너를 선호하기도 하고 업체 1이 성과점수는 낮지만 고객 피드백은 높다는 점이 파트너십을 유지할만하다고 생각이듭니다,p77,2024-12-20 16:20:35
9,중요한 프로젝트라 리스크가 적은게 낫지 않을까요?,p78,2024-12-20 16:20:56
10,충분히 맞는 말씀이십니다.,p79,2024-12-20 16:21:06
11,수상 경력도 너무 적지 않은가요?,p80,2024-12-20 16:21:06
12,12년 넘게 협업하면서 왜 수상 경력은 하나도 없는지 모르겠습니다,p80,2024-12-20 16:21:28
13,그럼 어떤 업체가 더 나은것같으세요?,p78,2024-12-20 16:21:39
14,하지만 회사의 경쟁력을 강화하기 위한 대규모 프로젝트여서 안정성 보단 좀 더 도박을 해보는것도 괜찮다고 생각합니다.,p79,2024-12-20 16:21:48
15,오히려 업체 2는 어떨까요? 신생 회사라서 실적은 없지만 수상 경력도 제일 많고 성과 점수가 정말 높습니다,p80,2024-12-20 16:21:49
16,직원 수도 제일 적어 오히려 프로젝트의 유연성에 도움을 줄 것 같습니다,p80,2024-12-20 16:22:26
17,그렇긴 하네요.,p78,2024-12-20 16:22:46
18,저는 반대로 직원수가 너무 적어 대형 프로젝트를 맡기기에는 충분하지 않을것 같다는 생각이 듭니다,p79,2024-12-20 16:22:47
19,"규모가 큰 프로젝트인데, 오히려 인원수가 적어서 인당 로드가 커져서 일이 지연되진 않을까요?",p77,2024-12-20 16:22:49
20,저도 일정 맞추는 부분이 걱정이 됩니다.,p78,2024-12-20 16:23:04
21,업체 2의 능력은 수상 경력과 성과 점수로 충분히 설명 가능하지 않을까요?,p80,2024-12-20 16:23:30
22,이번 프로젝트는 꼭 성공시켜야 하는 프로젝트이기에,p80,2024-12-20 16:23:52
23,프로젝트에 혁신적 사고를 가져다 줄 수 있는 업체 2가 좋아 보입니다,p80,2024-12-20 16:24:10
24,하지만 완료한 프로젝트가 없다는 점이 큰 리스크라고 생각합니다.,p79,2024-12-20 16:24:39
25,그 부분은 저도 동의합니다,p80,2024-12-20 16:25:09
26,맞습니다. 작은 프로젝터면 몰라도 큰 프로젝트인만큼 경험이 중요해보입니다,p78,2024-12-20 16:25:14
27,큰 프로젝트인 만큼 완료 프로젝트가 많아 노하우가 많이 쌓인 업체에게 선정하는것이 좋을것같다고 생각합니다.,p79,2024-12-20 16:25:46
28,하지만 저희 회사와 협력해 완료한 프로젝트가 없다 뿐이지 회사의 능력은 성과 점수와 수상 경력으로 충분히 검증되지 않았나요..?,p80,2024-12-20 16:25:54
29,그렇다면 업체1보다 성과점수가 높은 업체3은 어떻게 생각하세요?,p78,2024-12-20 16:26:51
30,수상 내역이 고작 지역 엔지니어링 우수상 하나인 것이 조금 걸립니다,p80,2024-12-20 16:27:35
31,하지만 여러 지표를 고려하면 업체 1보다는 낫다는게 제 의견입니다,p80,2024-12-20 16:27:53
32,하지만 고객 리뷰수가 적다는 점도 고려해봐야할 부분인 것 같습니다.,p77,2024-12-20 16:29:39
33,경험 많은 선임 분들이 리스크 관리를 중요하게 여기는 만큼 이번 결정은 제가 선임 분들의 의견을 따르겠습니다.,p80,2024-12-20 16:30:56
34,업체 1이나 2 중 하나로 선택하는게 어떨까요?,p80,2024-12-20 16:31:18
35,업체3을 고르느니 리뷰수가 많은 업체1이 나은 것같습니다,p78,2024-12-20 16:31:28
36,"<span style=""font-size: 15.04px;"">업체1은 저희와 오랜기간동안 협업해왔기 때문에 각자의 사정을 잘 알고 가장 최선의 품질을 뽑아낼 수 있다는 점, 안정성이 가장 뛰어나다는 점 때문에 저는 업체1이 나은것같습니다.</span>",p79,2024-12-20 16:31:39
37,그러면 업체 1로 선정해서 통보할까요?,p80,2024-12-20 16:32:15
38,저도 같은 이유로 업체1이 더 좋을 것 같습니다. 수상경력이 많아도 고객리뷰수가 아직 적어서 검증되었다고 보기엔 어려운 점도 있구요,p77,2024-12-20 16:32:18
39,좋습니다!,p77,2024-12-20 16:32:27
40,좋습니다,p78,2024-12-20 16:32:27
41,좋습니다.,p79,2024-12-20 16:32:33
42,넵 알겠습니다 서류 정리해서 통보하겠습니다,p80,2024-12-20 16:32:44
43,넵 좋아요~!,p77,2024-12-20 16:33:02
