sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p1,Senior,g1,A,1,6,326,23,1326,0.2608695652173913,0.2458521870286576,0.2548626139418978,0.25336087612302444,0.2518591383041511
p2,Senior,g1,A,1,6,321,23,1326,0.2608695652173913,0.2420814479638009,0.2533543183159551,0.2514755065905961,0.24959669486523706
p3,Senior,g1,A,1,6,426,23,1326,0.2608695652173913,0.3212669683257919,0.2850285264607515,0.2910682667715916,0.2971080070824317
p4,Junior,g1,A,1,5,253,23,1326,0.21739130434782608,0.1907993966817496,0.2067545412813955,0.20409535051478783,0.2014361597481802
p1,Senior,g1,B,2,12,435,49,1815,0.24489795918367346,0.2396694214876033,0.24280654410524538,0.2422836903356384,0.24176083656603137
p2,Senior,g1,B,2,10,334,49,1815,0.20408163265306123,0.1840220385674931,0.19605779501883397,0.19405183561027717,0.19204587620172037
p3,Senior,g1,B,2,18,714,49,1815,0.3673469387755102,0.3933884297520661,0.3777635351661326,0.3803676842637882,0.38297183336144375
p4,Junior,g1,B,2,9,332,49,1815,0.1836734693877551,0.18292011019283747,0.18337212570978806,0.1832967897902963,0.18322145387080452
p5,Senior,g2,A,1,8,169,48,1617,0.16666666666666666,0.10451453308596166,0.14180581323438465,0.13559059987631417,0.12937538651824365
p6,Senior,g2,A,1,21,698,48,1617,0.4375,0.43166357452071735,0.435165429808287,0.4345817872603587,0.43399814471243037
p7,Senior,g2,A,1,14,426,48,1617,0.2916666666666667,0.2634508348794063,0.28038033395176254,0.2775587507730365,0.27473716759431044
p8,Junior,g2,A,1,5,324,48,1617,0.10416666666666667,0.20037105751391465,0.14264842300556585,0.15226886209029067,0.16188930117501546
p5,Senior,g2,C,2,7,245,66,2149,0.10606060606060606,0.11400651465798045,0.1092389694995558,0.11003356035929326,0.1108281512190307
p6,Senior,g2,C,2,25,649,66,2149,0.3787878787878788,0.30200093066542577,0.3480730995388976,0.3403944047266523,0.33271570991440697
p7,Senior,g2,C,2,24,888,66,2149,0.36363636363636365,0.41321544904606794,0.3834679978002453,0.38842590634121577,0.3933838148821862
p8,Junior,g2,C,2,10,367,66,2149,0.15151515151515152,0.17077710563052584,0.15921993316130123,0.16114612857283866,0.1630723239843761
p10,Senior,g3,C,1,13,548,61,2599,0.21311475409836064,0.21085032704886494,0.21220898327856236,0.2119825405736128,0.21175609786866323
p11,Senior,g3,C,1,24,754,61,2599,0.39344262295081966,0.29011158137745285,0.35211020632147294,0.34177710216413626,0.3314439980067996
