id,content,sender,sentTime
1,"다들 자료 검토 끝나셨나요","🤵신나벌임","2024-12-21 14:10:10"
2,"넵!","🤵자몽","2024-12-21 14:10:17"
3,"넵 끝났습니다","🤵권투하는 무지","2024-12-21 14:10:17"
4,"넵!","👶돌맹이","2024-12-21 14:10:21"
5,"누가 좋을까요","🤵신나벌임","2024-12-21 14:10:55"
6,"다들 생각하는 후보자가 어떻게 되시나요?","🤵자몽","2024-12-21 14:10:56"
7,"검토 결과 저는 후보자 1이 이번 팀장 승진에 적합하다고 생각합니다","🤵권투하는 무지","2024-12-21 14:11:03"
8,"저는 후보자 2가 적합하다고 생각합니다","👶돌맹이","2024-12-21 14:11:09"
9,"저도 2라고 생각합니다","🤵자몽","2024-12-21 14:11:17"
10,"저도 미래 성장 관점에서는 2번이 좋다는 의견입니다","🤵신나벌임","2024-12-21 14:11:44"
11,"그럼 한명씩 살펴볼까요?","🤵자몽","2024-12-21 14:12:00"
12,"좋습니다","🤵신나벌임","2024-12-21 14:12:06"
13,"1에 대해 얘기해보시죠","🤵자몽","2024-12-21 14:12:07"
14,"&nbsp;근속기간이 가장 길다는 점에서","👶돌맹이","2024-12-21 14:12:20"
15,"회사를 가장 잘 알고 있는 사람이 아닐까요?","👶돌맹이","2024-12-21 14:12:29"
16,"회사에 대한 이해가 가장 높겠어요","🤵자몽","2024-12-21 14:12:34"
17,"사내평판 높고 인맥이 많은점은 안정성 측면에서는","🤵신나벌임","2024-12-21 14:12:51"
18,"가장 좋은 강점입니다","🤵신나벌임","2024-12-21 14:13:10"
19,"그런데 우리 회사가 첨단 기술 회사이고, 혁신적인 변화를 추구하고 과도기임을 고려하면 누군가는 변화를 이끌어줘야 하지 않나 싶습니다&nbsp;","🤵자몽","2024-12-21 14:13:29"
20,"기여도도 평균이상이라고 생각합니다.","👶돌맹이","2024-12-21 14:13:42"
21,"23년의 근무 기간이면 회사 내부를 깊이 이해하고 있지 않을까요?","🤵권투하는 무지","2024-12-21 14:14:10"
22,"그만큼 변화를 선도 하는 데에 있어서도 탁월할 것입니다","🤵권투하는 무지","2024-12-21 14:14:19"
23,"근속기간이 긴데도 사내 공로 수상 0회인것은 변화를 선도한다고 볼 수 있을까요?","🤵자몽","2024-12-21 14:14:58"
24,"저도 그 긴 기간동안 수상이 없는건 단점이라고 생각합니다.","👶돌맹이","2024-12-21 14:15:38"
25,"1에 대한 의견이 더 있으신가요?&nbsp;","🤵자몽","2024-12-21 14:15:59"
26,"공로 수상이 없는 것은 분명 아쉬운 부분이 맞습니다","🤵권투하는 무지","2024-12-21 14:16:02"
27,"오히려 수상 내역이 더 많았어야하지 않았을까요?","👶돌맹이","2024-12-21 14:16:04"
28,"하지만 꼭 수상 내역만이 그 결과를 보장하는 것은 아니니까요","🤵권투하는 무지","2024-12-21 14:16:50"
29,"1번의 평가는 그냥 무난하게 일하는 직원이었다","🤵신나벌임","2024-12-21 14:17:00"
30,"팀장은 관리자인데 사내 평판이 좋다 보니까 팀원들을 잘 이끄는데에는 도움이 되긴 하겠어요","🤵자몽","2024-12-21 14:17:01"
31,"일단 후보자2로 넘어가볼까요","🤵자몽","2024-12-21 14:17:13"
32,"넵 일단 후보자 2도 볼까요?","🤵권투하는 무지","2024-12-21 14:17:47"
33,"다들 어떤 점에서 후보자 2를 선택하셨나요?","🤵권투하는 무지","2024-12-21 14:18:01"
34,"아무래도 5년이라는 짧은 기간에도 회사에서 주는 사내 공로를 2번이나 수상했다는건 이미 회사에서 큰 인정을 받고 있다고 생각합니다.","👶돌맹이","2024-12-21 14:18:07"
35,"사내 평판이 약간 낮은것은 시셈에서 비롯된건 아닐까요..?","👶돌맹이","2024-12-21 14:18:49"
36,"그럴 수도 있겠어요","🤵자몽","2024-12-21 14:19:08"
37,"시셈도 있겠지만 너무 일만하는 워커홀릭이라 그럴 가능성도 있을 것 같아요","🤵신나벌임","2024-12-21 14:19:24"
38,"사실 저는 팀장급으로는 2번은 조금 적절하지 않을 수도 있다는게 제 판단인데","🤵신나벌임","2024-12-21 14:19:54"
39,"그리고 저는 5년이 후보자1에 비하면 짧을 수 있겠지만, 박사 후에 회사에 들어왔고, 그 안에 성과를 낸 면이 있다면 충분하다고 생각합니다","🤵자몽","2024-12-21 14:20:02"
40,"팀장은 사실 대외업무를 더 많이하는 입장이라","🤵신나벌임","2024-12-21 14:20:14"
41,"때로는 후보자2의 높은 기대로 인해서 팀원들이 좀 힘들었을 수는 있다고 생각하지만, 그만큼 회사를 발전시키는데 중요한 인재라고 보여집니다.","👶돌맹이","2024-12-21 14:20:21"
42,"평판이 중요하긴하거든요 일은 저런 팀원들한테 맡기면 성과는 어차피 나오니까","🤵신나벌임","2024-12-21 14:20:31"
43,"2번 후보자가 능력이 있는 것도 사실인 것 같지만 팀장이란 직책은 결국 능력으로만 되는 것은 아닌 것 같아서요","🤵권투하는 무지","2024-12-21 14:20:50"
44,"저는 팀장의 역할에 따라서 성과가 많이 바뀐다고 생각합니다.","👶돌맹이","2024-12-21 14:20:58"
45,"트러플이 생기거나 했을때 조치할 수 있는 역량이 있을지는 의문이긴 합니다.","🤵신나벌임","2024-12-21 14:20:58"
46,"능력없는 팀장 밑에는 팀원들이 제대로 일을 하지 않거나 떠날테니까요","👶돌맹이","2024-12-21 14:21:13"
47,"사실 능력만 생각하면 좋지만 회사는 사람들이 더불어 일하는 곳인점 그리고 오히려 팀장님이 다른 부서와 협업을 못할정도의 커뮤니케이션 능력이면 팀이 고립될 수 있어요","🤵신나벌임","2024-12-21 14:21:56"
48,"조직 기여도 평가는 사람들이 평가하는 거 아닌가요? 일에 대한 평가이지만 이것도 사람이 하는 거라고 생각하면 이 점수가 높은 것도 의미 있는 것 같습니다","🤵자몽","2024-12-21 14:22:02"
49,"하지만 후보자 2가 회사 운영에 대한 경험이 많이 없으니 아무래도 팀장직을 맡기에는 어려운 부분이 많을 것 같아요","🤵권투하는 무지","2024-12-21 14:22:33"
50,"성격이 안좋을 수 있어도 일은 확실히 잘한다 이런 인상 같습니다.&nbsp;","🤵자몽","2024-12-21 14:22:37"
51,"일단 후보자 3 살펴볼까요?&nbsp;","🤵자몽","2024-12-21 14:22:48"
52,"후보자3의 역량은 후보자 1과 후보자 2 사이라고 생각합니다.","👶돌맹이","2024-12-21 14:23:18"
53,"3번은 진짜 설명대로 애매한 선택이 될 수 있는 스팩이네요","🤵신나벌임","2024-12-21 14:23:22"
54,"중간도 아닌거 같은...","🤵신나벌임","2024-12-21 14:23:33"
55,"3번을 고려하시는 분 계신가요...?","🤵권투하는 무지","2024-12-21 14:23:46"
56,"중간이려면 근무 경력이 15년은 되어야 할거같아요","🤵자몽","2024-12-21 14:23:47"
57,"조직기여도도 사내평판도&nbsp;","🤵신나벌임","2024-12-21 14:23:51"
58,"후보자 3은 큰 메리트가 없는 것 같아서요","🤵권투하는 무지","2024-12-21 14:24:07"
59,"후보 1,2번의 단점 수준의 평가고","🤵신나벌임","2024-12-21 14:24:08"
60,"저도 메리트 없다고 생각하빈다","🤵자몽","2024-12-21 14:24:16"
61,"그럼 3번은 재끼시죠","🤵신나벌임","2024-12-21 14:24:27"
62,"1,2번 중에 고려하는 것이 좋을 것 같습니다","🤵권투하는 무지","2024-12-21 14:24:29"
63,"네넵","🤵권투하는 무지","2024-12-21 14:24:31"
