id,content,sender,sentTime
1,"하청업체를 선정해야하는데 여러분들의 의견이 궁금합니다","🤵하늘","2024-12-21 09:30:40"
2,"업체 목록으로 세 곳이 있네요","🤵라이언","2024-12-21 09:30:58"
3,"네 다들 확인하셨죠?","🤵하늘","2024-12-21 09:31:05"
4,"네"," 👶아카","2024-12-21 09:31:08"
5,"<span style=""font-size: 15.04px;"">현재 가장 안정적이고 오랜 시간 검증되어온 선택읕 해야한다고 하셨으니 협업기간이 긴 업체 1이 좋지 않을까 싶습니다.</span>","🤵보름달","2024-12-21 09:31:17"
6,"고객 분이 안정적 진행을 최우선으로 두고 계시다보니 안정적으로 그동안 오래 진행해왔던 파트너가 어떨까합니다","🤵하늘","2024-12-21 09:31:46"
7,"다른 의견도 편하게 주시면 같이 논의해봐요","🤵하늘","2024-12-21 09:31:53"
8,"네, 하나씩 보자면 업체 2의 경우는 성과 점수는 좋으나 협력 기간이 없어 아쉽습니다","🤵라이언","2024-12-21 09:32:02"
9,"저는 업체 1은 제일 안정적이지만 협업기간에 비해 고객리뷰수나 완료 프로젝트가 많은 편이 아닙니다"," 👶아카","2024-12-21 09:32:24"
10,"다음에 조금 더 단기적으로 진행되는 프로젝트는 함께 해보아도 좋을 것 같네요","🤵라이언","2024-12-21 09:32:28"
11,"아카님은 그럼 어떤 업체가 가장 좋을 것 같으신가요?","🤵하늘","2024-12-21 09:32:55"
12,"저는 업체 3을 추천하고 싶습니다"," 👶아카","2024-12-21 09:33:20"
13,"이유를 좀 자세히 여쭤봐도 될까요?","🤵하늘","2024-12-21 09:33:41"
14,"협업기간에 비해 고객리뷰수와 완료 프로젝트가 많고 성과도 나쁘지 않습니다"," 👶아카","2024-12-21 09:34:03"
15,"협업기간에 비해 봤을 때는 그렇지만 안정적인 선택이라고 확언할 수 없을 것 같기도 합니다","🤵하늘","2024-12-21 09:34:52"
16,"고객 피드백 면에서 업체 1보다 좀 떨어지기도 하고요","🤵하늘","2024-12-21 09:35:00"
17,"그리고 가능성 있는 협력업체를 저희가 시도해 볼 가치가 있다고 생각합니다."," 👶아카","2024-12-21 09:35:25"
