nickname,subjectNum,groupNum,task,condition,role,PS,M1,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PDOQ1,PDOQ2,NASA1,NASA2,NASA3,NASA4,NASA5,PAA1,PAA2,PAA3,PAA4
익명,83,21,2,A,Senior,6,1,6,6,6,6,6,6,6,4,3,6,4,1,,,,
p84,84,21,2,A,Junior,7,1,7,7,7,7,4,6,7,5,2,6,2,1,,,,
나무,81,21,2,A,Senior,7,1,7,7,7,7,7,7,7,1,2,7,7,1,,,,
익명의 고라니,82,21,2,A,Senior,5,2,6,5,5,4,5,6,5,5,5,6,5,3,,,,
익명,83,21,1,B,Senior,6,1,6,6,6,6,6,6,6,5,2,6,3,1,3.0,2.0,5.0,6.0
p84,84,21,1,B,Junior,7,1,7,7,7,7,7,7,7,5,2,7,7,1,1.0,5.0,4.0,7.0
나무,81,21,1,B,Senior,7,1,7,6,7,7,7,7,7,1,1,7,7,1,2.0,1.0,4.0,2.0
익명의 고라니,82,21,1,B,Senior,6,2,6,5,6,5,6,6,5,5,3,5,5,3,2.0,2.0,2.0,5.0
산타,4,1,1,A,Junior,6,2,7,6,7,6,6,6,6,4,3,6,5,3,,,,
이강두,3,1,1,A,Senior,7,1,6,7,6,6,6,7,7,2,1,7,6,1,,,,
p1,1,1,1,A,Senior,7,1,6,7,6,6,7,7,7,3,1,6,4,2,,,,
hi,2,1,1,A,Senior,5,2,2,5,2,4,1,6,4,1,1,4,1,1,,,,
산타,4,1,2,B,Junior,6,2,6,6,6,6,6,6,6,5,5,6,5,4,3.0,3.0,4.0,5.0
이강두,3,1,2,B,Senior,7,1,7,6,6,5,7,7,7,2,3,6,5,1,3.0,2.0,3.0,6.0
p1,1,1,2,B,Senior,6,1,6,6,6,5,6,6,6,2,5,6,4,4,5.0,3.0,1.0,1.0
hi,2,1,1,B,Senior,5,1,2,5,5,6,5,4,5,1,1,3,1,1,4.0,6.0,2.0,7.0
쿵야,67,17,1,A,Senior,6,2,5,6,6,6,4,6,5,2,7,5,6,6,,,,
꽁꽁,68,17,1,A,Junior,2,6,2,2,3,5,3,2,2,6,7,3,7,6,,,,
피크,66,17,1,A,Senior,6,1,6,6,3,6,6,7,4,2,5,6,5,5,,,,
고드름,65,17,1,A,Senior,6,2,6,5,6,6,6,6,6,5,5,6,4,3,,,,
꽁꽁,68,17,2,B,Junior,2,3,5,5,5,2,5,6,4,6,5,5,6,7,1.0,2.0,1.0,6.0
고드름,65,17,2,B,Senior,6,1,6,5,6,6,7,6,6,5,5,6,4,3,3.0,5.0,5.0,5.0
쿵야,67,17,2,B,Senior,7,1,7,7,7,7,7,7,7,3,2,6,6,2,6.0,6.0,6.0,2.0
피크,66,17,2,B,Senior,6,1,6,7,5,7,6,7,4,2,6,6,6,2,4.0,2.0,2.0,1.0
j,73,19,1,B,Senior,7,1,6,6,5,5,6,6,6,2,6,4,5,1,3.0,2.0,3.0,4.0
Qq,74,19,1,B,Senior,7,1,5,6,5,7,6,7,5,4,7,7,4,2,2.0,2.0,3.0,3.0
치즈케익,76,19,1,B,Junior,3,6,3,2,5,5,2,4,5,2,5,5,6,1,3.0,3.0,5.0,6.0
알감자,75,19,1,B,Senior,7,2,6,6,4,6,5,6,6,5,5,6,6,6,2.0,2.0,2.0,2.0
알감자,75,19,2,A,Senior,6,2,6,6,6,6,5,6,6,4,4,6,5,5,,,,
j,73,19,2,A,Senior,6,1,6,6,5,6,6,6,5,1,6,5,4,1,,,,
Qq,74,19,2,A,Senior,5,3,6,5,5,6,6,7,5,2,3,5,3,2,,,,
치즈케익,76,19,2,A,Junior,1,7,2,1,3,2,1,1,1,6,6,2,6,6,,,,
뿌뿌,17,5,1,A,Senior,3,4,4,5,4,5,3,4,5,5,5,4,4,5,,,,
불닭소스반만넣어요,18,5,2,A,Senior,6,1,5,5,6,6,6,6,6,5,6,6,6,3,,,,
불나게 일하는 네오,19,5,2,A,Senior,7,1,6,7,4,7,4,6,5,6,6,6,6,1,,,,
도롱,20,5,2,A,Junior,2,1,5,3,7,1,7,7,7,4,3,6,6,1,,,,
뿌뿌,17,5,1,B,Senior,4,3,4,5,4,5,5,5,6,3,3,5,6,3,3.0,3.0,5.0,5.0
