Date,User,Message
2024-12-20 11:27:45,"Soohwan Lee","씩씩거리는 무지님을 내보냈습니다."
2024-12-20 13:08:24,"단무지","단무지님이 들어왔습니다."
2024-12-20 13:21:57,"Soohwan Lee","*단무지 님, 이 실험 진행할 때 노쇼가 너무 많았어서 확인차 전화드린 것이니 혹시 당황하셨다면 양해부탁드립니다🙏"
2024-12-20 13:22:04,"단무지","아니예요!"
2024-12-20 13:28:15,"단무지","사진"
2024-12-20 13:28:22,"Soohwan Lee","이건 무시하셔도 되어요!"
2024-12-20 13:28:26,"Soohwan Lee","건드시면 안됩니다ㅠㅠ"
2024-12-20 13:28:53,"Soohwan Lee","사진"
2024-12-20 13:28:56,"Soohwan Lee","이런 화면 보이시면 되어요"
2024-12-20 13:29:25,"단무지","돌아가기만하고 안들어가져서요^^;"
2024-12-20 13:29:34,"Soohwan Lee","모든 시크릿창을 종료하신 후"
2024-12-20 13:29:43,"Soohwan Lee","다시 시크릿창을 여셔서 로그인을 시도해보셔요!"
2024-12-20 13:30:17,"Soohwan Lee","👶단무지"
2024-12-20 13:30:25,"Soohwan Lee","이것을 복사하셔서 붙여넣으시고 바로 로그인 눌러보셔요!"
2024-12-20 13:32:38,"Soohwan Lee","사진"
2024-12-20 13:32:55,"Soohwan Lee","⚠️👶 당신이 처한 상황과 역할에 더 몰입할 수 있도록 각 선택지 별로 참고하여 결정되어야 할 중요한 사안들이 아래에 적혀 있습니다. 특히, 당신은 회사의 주니어 멤버로써, 현재 가시적인 성과를 통해 스스로를 증명해보여야 하므로 
👉👉 [현재 가장 도전적이고 과감한 선택을 해야만 하는 상황]
에 처했다는 것을 반드시 명심하세요. 당신이 처한 상황을 반드시 유념해주세요!"
2024-12-20 13:32:59,"Soohwan Lee","‼️중요‼️ 가시적인 지표나 [성과] 등을 중요하게 생각해보세요! 당신의 원래 개인적인 가치관에 따라서만 고르는 문제는 아닙니다. 주어진 그럴 수 밖에 없는 상황을 중요하게 생각해주세요. 하지만 반드시 토론의 결론이 당신의 입장대로 나야만 하는 것은 아닙니다."
2024-12-20 13:33:02,"Soohwan Lee","💰 시니어 멤버들이 당신의 추가 보상을 결정한다는 점도 유념해주세요!"
2024-12-20 13:33:05,"Soohwan Lee","[성과 및 수상 내역] 등의 가치를 중요하게 생각해보세요!🙏"
2024-12-20 14:08:07,"Soohwan Lee","사진"
2024-12-20 14:08:28,"Soohwan Lee","⚠️👶 당신이 처한 상황과 역할에 더 몰입할 수 있도록 각 선택지 별로 참고하여 결정되어야 할 중요한 사안들이 아래에 적혀 있습니다. 특히, 당신은 회사의 주니어 멤버로써, 현재 가시적인 성과를 통해 스스로를 증명해보여야 하므로 
👉👉 [현재 가장 도전적이고 과감한 선택을 해야만 하는 상황]
에 처했다는 것을 반드시 명심하세요. 당신이 처한 상황을 반드시 유념해주세요!"
2024-12-20 14:08:31,"Soohwan Lee","‼️중요‼️ 가시적인 지표나 [성과] 등을 중요하게 생각해보세요! 당신의 원래 개인적인 가치관에 따라서만 고르는 문제는 아닙니다. 주어진 그럴 수 밖에 없는 상황을 중요하게 생각해주세요. 하지만 반드시 토론의 결론이 당신의 입장대로 나야만 하는 것은 아닙니다."
2024-12-20 14:08:33,"Soohwan Lee","💰 시니어 멤버들이 당신의 추가 보상을 결정한다는 점도 유념해주세요!"
2024-12-20 14:08:37,"Soohwan Lee","💰 시니어 멤버들이 당신의 추가 보상을 결정한다는 점도 유념해주세요!"
2024-12-20 14:31:40,"Soohwan Lee","단무지님, 이제 설문하시고나면 시니어 -> 주니어 차례로 인터뷰 잠깐 진행할텐데, 정말 죄송하지만 시간이 조금 오버될 것 같은데 괜찮을까요? 참가 하시면서 눈치 채셨을 수도 있지만 주니어의 경험이 더 중요한 실험이라 혹시 시간 조금 오버해서 인터뷰 진행해도 괜찮을까요? 정말 죄송합니다ㅜㅜ"
2024-12-20 14:32:02,"Soohwan Lee","제 예상에 3시 정도에 끝날거 같습니다"
2024-12-20 14:35:25,"단무지","Task 1-A/ Task 2-B 요렇게하면 되는건가요? 헷갈려서요.."
2024-12-20 14:35:41,"단무지","넴 "
2024-12-20 14:36:56,"단무지","현재 가장 도전적이고 과감한 선택을 해야만 하는 상황이었다고 말좀 해주세요.. 힘들었어요"
2024-12-20 14:37:10,"Soohwan Lee","넵 죄송합니다..ㅠㅠ"
2024-12-20 14:37:17,"Soohwan Lee","task만 신경써주셔서 응답해주시면 됩니다!"
2024-12-20 14:37:34,"단무지","내 그럼 1,2 모두했어요"
2024-12-20 14:56:27,"Soohwan Lee","@단무지 님, 줌으로 들어와주세요!"
2024-12-20 14:56:56,"단무지","아 혹시 채팅으로는 안될까요??"
2024-12-20 14:57:10,"Soohwan Lee","혹시 보이스 힘드신 상황이신가요?"
2024-12-20 14:57:16,"단무지","넵"
2024-12-20 14:57:28,"Soohwan Lee","보이스 가능하시면 제 경험상 2배는 빨리 끝나시지만, 넵! 알겠습니다ㅠㅠ"
2024-12-20 14:57:53,"Soohwan Lee","얼마나 주니어라는 역할에 몰입하셨는지, 그리고 받으셨던 선택지 중에 주로 어떤 선택지를 선호하셨는지 그런 것들이 궁금합니다."
2024-12-20 15:00:48,"단무지","주로 성과위주로 선택을 했고, 굳이 주어진 역할이 아니어도 제 생각이기도 했고,, 그래서 그런지 얘기하다 보니 많이 몰입됐던 것 같아요 "
2024-12-20 15:00:56,"Soohwan Lee","넵 감사합니다"
2024-12-20 15:00:57,"Soohwan Lee","""그룹 토론 중에 발언하는 것이 얼마나 편하셨는지, 말하기를 주저하거나 무시당하는 느낌 등 심리적 압박감을 느끼지는 않으셨는지 궁금해요. 그리고 혹시 느끼셨다면 언제, 왜 그런 감정을 느끼셨는지 궁금해요.” 그리고 다른 사람의 의견에 동의하는 척 한적이 있었나요?"
2024-12-20 15:02:08,"단무지","그 세분 중에 한명은 정확히 이름이 기억안나지만 좀 막무가내셔서 무시당하는 기분이 지속적으로 들었고, 강압 받는 느낌이었습니다. "
2024-12-20 15:02:47,"단무지","시간 제한이 있어 의견을 수용은 했지만, 제 생각이 바뀌지는 않는 토론이었습니다. "
2024-12-20 15:02:59,"Soohwan Lee","혹시 그 분의 어떤 부분이 좀 그러셨을까요? 그것 외의 요인도 있으셨을까요? 예를 들면, 주니어라서 또는 의견이 혼자 달라서도 영향이 있으셨을까요?"
2024-12-20 15:03:53,"단무지","의견이 혼자 달라서의 영향이 제일 큰 거 같고, 그 분 성향이 자기가 맞으면 맞는거야 느낌.."
2024-12-20 15:04:06,"단무지","저는 그렇게 느꼇습니다"
2024-12-20 15:04:10,"Soohwan Lee","고생 많으셨습니다....ㅠㅠ"
2024-12-20 15:04:17,"Soohwan Lee","홀로 주니어라서는 별로 영향이 없으셨을까요?"
2024-12-20 15:05:02,"단무지","역할을 말씀하시는걸까요? 아니면 첨부터 배정된 위치를 말씀하시는걸까요??"
2024-12-20 15:05:23,"Soohwan Lee","주니어라는 역할 말씀드리는 것입니다!"
2024-12-20 15:05:37,"Soohwan Lee","위치는 무슨 말씀이신지 잘 모르겠어요.."
2024-12-20 15:06:58,"단무지","영향 있엇어요 외로웠어요"
2024-12-20 15:07:08,"Soohwan Lee","넵… 고생하셨어요ㅠㅠ"
