nickname,subjectNum,groupNum,task,condition,role,PS,M1,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PDOQ1,PDOQ2,NASA1,NASA2,NASA3,NASA4,NASA5,PAA1,PAA2,PAA3,PAA4
익명,83,21,2,A,Senior,6,1,6,6,6,6,6,6,6,4,3,6,4,1,,,,
p84,84,21,2,A,Junior,7,1,7,7,7,7,4,6,7,5,2,6,2,1,,,,
나무,81,21,2,A,Senior,7,1,7,7,7,7,7,7,7,1,2,7,7,1,,,,
익명의 고라니,82,21,2,A,Senior,5,2,6,5,5,4,5,6,5,5,5,6,5,3,,,,
익명,83,21,1,B,Senior,6,1,6,6,6,6,6,6,6,5,2,6,3,1,3,2,5,6
p84,84,21,1,B,Junior,7,1,7,7,7,7,7,7,7,5,2,7,7,1,1,5,4,7
나무,81,21,1,B,Senior,7,1,7,6,7,7,7,7,7,1,1,7,7,1,2,1,4,2
익명의 고라니,82,21,1,B,Senior,6,2,6,5,6,5,6,6,5,5,3,5,5,3,2,2,2,5
산타,4,1,1,A,Junior,6,2,7,6,7,6,6,6,6,4,3,6,5,3,,,,
이강두,3,1,1,A,Senior,7,1,6,7,6,6,6,7,7,2,1,7,6,1,,,,
p1,1,1,1,A,Senior,7,1,6,7,6,6,7,7,7,3,1,6,4,2,,,,
hi,2,1,1,A,Senior,5,2,2,5,2,4,1,6,4,1,1,4,1,1,,,,
산타,4,1,2,B,Junior,6,2,6,6,6,6,6,6,6,5,5,6,5,4,3,3,4,5
이강두,3,1,2,B,Senior,7,1,7,6,6,5,7,7,7,2,3,6,5,1,3,2,3,6
p1,1,1,2,B,Senior,6,1,6,6,6,5,6,6,6,2,5,6,4,4,5,3,1,1
hi,2,1,1,B,Senior,5,1,2,5,5,6,5,4,5,1,1,3,1,1,4,6,2,7
쿵야,67,17,1,A,Senior,6,2,5,6,6,6,4,6,5,2,7,5,6,6,,,,
꽁꽁,68,17,1,A,Junior,2,6,2,2,3,5,3,2,2,6,7,3,7,6,,,,
피크,66,17,1,A,Senior,6,1,6,6,3,6,6,7,4,2,5,6,5,5,,,,
고드름,65,17,1,A,Senior,6,2,6,5,6,6,6,6,6,5,5,6,4,3,,,,
꽁꽁,68,17,2,B,Junior,2,3,5,5,5,2,5,6,4,6,5,5,6,7,1,2,1,6
고드름,65,17,2,B,Senior,6,1,6,5,6,6,7,6,6,5,5,6,4,3,3,5,5,5
쿵야,67,17,2,B,Senior,7,1,7,7,7,7,7,7,7,3,2,6,6,2,6,6,6,2
피크,66,17,2,B,Senior,6,1,6,7,5,7,6,7,4,2,6,6,6,2,4,2,2,1
j,73,19,1,B,Senior,7,1,6,6,5,5,6,6,6,2,6,4,5,1,3,2,3,4
Qq,74,19,1,B,Senior,7,1,5,6,5,7,6,7,5,4,7,7,4,2,2,2,3,3
치즈케익,76,19,1,B,Junior,3,6,3,2,5,5,2,4,5,2,5,5,6,1,3,3,5,6
알감자,75,19,1,B,Senior,7,2,6,6,4,6,5,6,6,5,5,6,6,6,2,2,2,2
알감자,75,19,2,A,Senior,6,2,6,6,6,6,5,6,6,4,4,6,5,5,,,,
j,73,19,2,A,Senior,6,1,6,6,5,6,6,6,5,1,6,5,4,1,,,,
Qq,74,19,2,A,Senior,5,3,6,5,5,6,6,7,5,2,3,5,3,2,,,,
치즈케익,76,19,2,A,Junior,1,7,2,1,3,2,1,1,1,6,6,2,6,6,,,,
피자 먹다 자는 무지,56,14,2,A,Junior,6,6,2,5,6,2,6,6,6,6,2,6,6,6,,,,
진,54,14,2,A,Senior,5,2,6,7,7,5,6,7,6,3,4,6,6,3,,,,
kim,53,14,2,A,Senior,5,2,6,5,7,6,7,5,6,3,6,6,7,3,,,,
라이언,55,14,2,A,Senior,6,1,6,6,6,6,4,5,6,1,1,4,6,1,,,,
kim,53,14,1,C,Senior,6,2,5,7,7,6,7,6,6,5,5,6,7,3,6,6,5,7
진,54,14,1,C,Senior,6,2,6,6,7,7,5,7,7,5,7,5,7,3,6,7,5,7
라이언,55,14,1,C,Senior,6,1,6,6,6,6,4,5,6,2,1,4,6,1,5,6,6,4
피자 먹다 자는 무지,55,14,1,C,Junior,6,2,6,6,6,2,6,6,6,5,2,6,6,2,5,1,1,1
