nickname,subjectNum,groupNum,task,condition,role,T1P1,T1P2,T1P3,T2V1,T2V2,T2V3
익명,83,21,1,B,Senior,1,5,6,2,7,6
p84,84,21,1,B,Junior,1,1,7,1,5,6
익명의 고라니,82,21,1,B,Senior,2,5,6,2,5,6
p1,1,1,2,B,Senior,1,7,1,1,2,6
이강두,3,1,2,B,Senior,1,7,6,5,1,7
산타,4,1,2,B,Junior,1,7,1,1,5,7
hi,2,1,1,B,Senior,1,6,5,1,4,5
꽁꽁,68,17,2,B,Junior,1,7,1,3,6,5
고드름,65,17,2,B,Senior,6,6,3,5,4,6
쿵야,67,17,2,B,Senior,7,2,1,5,2,6
피크,66,17,2,B,Senior,7,1,1,7,1,1
QQ,74,19,2,A,Senior,7,4,1,7,4,1
치즈케익,76,19,2,A,Junior,2,6,5,1,5,5
알감자,75,19,2,A,Senior,6,5,3,6,4,5
j,73,19,2,A,Senior,6,4,1,6,4,1
kim,53,14,1,C,Senior,7,2,2,7,2,2
진,54,14,1,C,Senior,7,2,2,7,2,2
라이언,55,14,1,C,Senior,6,2,2,6,2,5
피자 먹다 자는 무지,56,14,1,C,Junior,2,6,2,2,6,2
라이언,32,8,1,A,Junior,1,7,5,6,3,6
윤윤,30,8,1,A,Senior,6,1,1,6,1,1
참가자,29,8,1,A,Senior,7,1,1,7,1,2
p31,31,8,1,A,Senior,2,6,2,6,2,2
딸기케이크,95,24,1,A,Senior,3,3,6,3,3,6
파페,96,24,1,A,Junior,2,6,5,2,5,7
쥬쥬공쥬,94,24,1,A,Senior,4,1,6,5,1,5
불 뿜는 튜브,93,24,1,A,Senior,3,1,5,6,2,4
ojo,6,2,2,C,Senior,1,7,1,2,3,5
브레댄코,5,2,2,C,Senior,7,4,3,7,4,5
파자마,7,2,2,C,Senior,7,3,1,7,1,5
테슬라지옥가즈아,8,2,2,C,Junior,6,4,3,5,6,3
생각하는 라이언,48,12,1,A,Junior,2,7,3,7,2,5
Uni,46,12,2,A,Senior,7,2,3,7,1,6
천원의아침밥,45,12,2,A,Senior,7,3,1,5,3,6
JYW,47,12,2,A,Senior,7,6,4,7,5,6
불닭소스반만넣어요,18,5,1,B,Senior,6,6,4,7,4,5
뿌뿌,17,5,1,B,Senior,5,4,2,5,4,4
도롱,20,5,1,B,Junior,5,7,6,6,6,4
불나게 일하는 네오,19,5,1,B,Senior,7,2,1,7,1,1
엄지척 어피치,91,23,1,A,Senior,6,5,1,6,5,1
뿅뿅 네오,90,23,1,A,Senior,6,5,2,6,5,2
비옷입은 튜브,92,23,1,A,Junior,1,7,5,1,7,5
룰류,89,23,1,B,Senior,7,1,5,7,1,3
나무,81,21,1,A,Senior,1,5,6,2,5,7
말하는 감자,9,3,2,A,Senior,5,6,1,6,5,3
으쓱으쓱 어피치,10,3,2,A,Senior,6,5,1,5,6,1
연분홍 만두국,11,3,2,A,Senior,7,2,5,7,1,5
갈비탕구리,12,3,2,A,Junior,1,7,1,1,7,1
복서 무지,23,6,1,C,Senior,7,5,2,7,5,2
p21,21,6,1,C,Senior,7,3,5,7,5,3
p24,24,6,1,C,Junior,3,6,1,3,6,3
p22,22,6,1,C,Senior,7,1,1,7,1,1
화난튜브,13,4,2,A,Senior,7,1,1,7,2,1
호잇,14,4,2,A,Senior,7,2,1,7,1,5
프로도,16,4,1,A,Junior,6,6,2,5,2,6
음료수,15,4,2,A,Senior,7,2,3,3,2,6
P60,60,15,2,C,Junior,1,7,1,6,2,2
p59,59,15,2,C,Senior,7,5,3,7,1,1
트리,49,13,2,A,Senior,7,3,1,7,2,1
튜브낀튜브,51,13,1,A,Senior,6,3,1,6,5,1
원투쮑쮑,50,13,2,A,Senior,7,1,1,7,1,1
씩씩거리는 무지,52,13,1,C,Junior,1,7,5,1,7,5
말썽쟁이 네오,35,9,2,B,Senior,7,1,1,5,1,4
권투하는 무지,34,9,2,B,Senior,7,5,1,7,1,3
울고있는 어피치,33,9,2,B,Senior,7,5,1,7,1,5
유니유니,77,20,1,B,Senior,7,5,2,7,4,2
튜브낀 튜브,80,20,1,B,Junior,1,7,4,1,7,4
오리,78,20,1,B,Senior,6,3,2,7,2,1
멜론,79,20,1,B,Senior,5,7,1,5,7,1
만두,41,11,2,C,Senior,7,3,2,7,3,2
겨울,43,11,2,C,Senior,6,5,3,7,3,3
무지,42,11,2,C,Senior,7,2,3,7,2,3
즁즁,44,11,2,C,Junior,2,6,5,2,5,6
자몽,71,18,1,A,Senior,3,7,1,6,2,1
신나벌임,69,18,1,A,Senior,6,5,1,7,1,4
돌맹이,72,18,1,A,Junior,2,7,5,2,7,6
권투하는 무지,70,18,1,A,Senior,3,6,1,6,3,1
졸린 라이언,25,7,1,A,Senior,7,5,1,7,5,1
하츄핑,26,7,1,A,Senior,7,6,2,6,3,5
P28,28,7,1,A,Junior,5,6,1,1,6,5
멋쟁이 프로도,61,16,2,A,Senior,1,7,2,6,2,4
화나서방방뛰는튜브,62,16,2,A,Senior,1,7,1,7,1,1
무지,64,16,2,A,Junior,2,6,4,5,3,6
우가우가,63,16,2,A,Senior,2,7,2,6,1,6
유빈,40,10,1,A,Junior,7,1,1,5,1,5
라이언,38,10,1,A,Senior,6,2,2,5,2,2
무지,39,10,1,A,Senior,5,7,2,7,1,5
터보,37,10,1,A,Senior,5,6,6,5,5,5
마니,88,22,1,C,Junior,2,6,5,2,4,5
겨울,87,22,2,A,Senior,2,6,1,6,5,2
해모용,85,22,1,C,Senior,1,5,3,7,1,1
빈털터리 제이지,86,22,1,A,Senior,2,6,5,6,3,4
단무지,36,9,1,A,Junior,1,6,3,1,7,4
오이,57,15,1,A,Senior,7,2,3,7,2,2
아이스크림 든 네오,58,15,1,B,Senior,7,2,5,7,2,5
페드로,27,7,1,A,Senior,5,4,4,5,4,4
