S,PTDP,PDOQ,NASA,PAA
3.5,6.0,6.0,3.6,
4.0,6.4,6.5,3.2,
4.0,7.0,7.0,3.6,
3.5,5.0,5.5,4.8,
3.5,6.0,6.0,3.4,4.0
4.0,7.0,7.0,4.4,4.25
4.0,6.8,7.0,3.4,2.25
4.0,5.6,5.5,4.2,2.75
4.0,6.4,6.0,4.2,
4.0,6.2,7.0,3.4,
4.0,6.4,7.0,3.2,
3.5,2.8,5.0,1.6,
4.0,6.0,6.0,5.0,3.75
4.0,6.2,7.0,3.4,3.5
3.5,5.8,6.0,4.2,2.5
3.0,4.6,4.5,1.4,4.75
4.0,5.4,5.5,5.2,
4.0,3.0,2.0,5.8,
3.5,5.4,5.5,4.6,
4.0,5.8,6.0,4.6,
2.5,4.4,5.0,5.8,2.5
3.5,6.0,6.0,4.6,4.5
4.0,7.0,7.0,3.8,5.0
3.5,6.2,5.5,4.4,2.25
4.0,5.6,6.0,3.6,3.0
4.0,5.8,6.0,4.8,2.5
4.5,3.4,4.5,3.8,4.25
4.5,5.4,6.0,5.6,2.0
4.0,5.8,6.0,4.8,
3.5,5.8,5.5,3.4,
4.0,5.6,6.0,3.0,
4.0,1.8,1.0,5.2,
3.5,4.2,4.5,4.6,
3.5,5.6,6.0,5.2,
4.0,5.6,5.5,5.0,
1.5,4.6,7.0,4.0,
3.5,4.6,5.5,4.0,4.0
4.0,5.6,6.0,5.4,5.0
3.5,5.2,5.0,3.4,3.0
4.0,6.2,6.0,5.0,4.75
4.0,5.8,7.0,4.0,3.75
4.0,5.0,5.5,3.8,3.5
3.5,6.6,6.5,4.0,5.5
3.5,2.4,2.0,4.6,3.25
3.5,2.6,2.5,4.6,
3.5,4.2,5.0,4.8,
4.0,1.4,1.0,5.6,
4.0,5.6,6.0,4.2,
4.0,6.0,6.0,2.6,5.75
4.5,4.0,6.0,4.4,5.5
4.0,6.0,6.5,3.4,6.25
3.5,4.8,6.0,3.2,4.0
4.0,4.4,4.5,3.2,
4.0,5.4,4.5,3.0,
4.0,3.8,5.0,4.6,
4.5,6.4,6.5,3.2,
4.0,6.6,7.0,3.8,
4.0,5.6,5.5,4.2,
2.5,1.0,2.5,2.2,
3.5,6.0,6.0,4.8,
4.0,7.0,7.0,4.2,6.75
3.5,6.0,7.0,4.2,5.5
1.0,1.2,1.0,5.6,7.0
4.0,5.2,5.5,3.8,4.25
2.5,3.4,4.0,1.4,
4.0,5.4,6.5,3.2,
4.0,1.8,3.0,4.2,
3.5,6.0,7.0,2.6,
4.5,6.2,6.5,4.2,4.25
2.5,3.8,5.0,1.8,2.25
3.0,6.6,6.5,5.0,5.25
3.5,6.2,5.5,6.0,3.75
4.0,6.0,6.0,3.2,3.0
2.5,5.0,6.0,3.6,4.25
4.0,4.6,4.0,3.4,4.0
4.0,6.0,6.5,3.8,5.0
3.5,6.2,6.5,3.0,
4.0,5.0,5.0,4.6,
3.0,5.2,5.0,3.4,
3.5,4.8,4.0,3.8,
4.0,6.2,6.0,5.0,4.25
4.0,7.0,7.0,3.4,4.5
4.0,6.8,7.0,5.0,5.0
4.0,5.4,6.0,3.8,4.25
4.5,5.6,5.0,5.0,
4.0,5.0,4.0,4.8,
2.5,6.0,7.0,2.8,
4.0,6.8,6.0,3.4,
3.5,6.0,6.5,5.2,4.5
4.0,6.0,6.5,3.2,5.25
3.5,5.6,7.0,4.8,4.25
4.0,5.6,7.0,5.0,2.5
4.0,7.0,7.0,3.4,
3.5,7.0,7.0,4.8,
4.0,6.4,6.0,2.4,
5.0,5.6,5.5,4.8,
