,,Condition B,Condition B,Condition C,Condition C,All,All
,,Mean,SD,Mean,SD,Mean,SD
Measure,Role,,,,,,
PAA1,Senior,3.72,1.49,3.75,1.79,3.74,1.64
PAA1,Junior,3.58,1.98,4.17,1.34,3.88,1.68
PAA1,All,3.69,1.60,3.85,1.69,,
PAA2,Senior,3.72,1.67,4.22,1.79,3.97,1.74
PAA2,Junior,4.00,1.86,3.00,1.95,3.50,1.93
PAA2,All,3.79,1.70,3.92,1.89,,
PAA3,Senior,4.11,1.70,4.19,1.72,4.15,1.70
PAA3,Junior,4.00,1.71,3.17,1.99,3.58,1.86
PAA3,All,4.08,1.69,3.94,1.83,,
PAA4,Senior,4.69,1.70,4.78,1.55,4.74,1.62
PAA4,Junior,5.58,1.24,4.00,1.71,4.79,1.67
PAA4,All,4.92,1.64,4.58,1.61,,
